frame.number,eth.src,eth.dst,eth.type,frame.len
1,80:e8:6f:ab:e2:ba,01:80:c2:00:00:00,,60
2,ac:84:c6:1f:3e:0f,33:33:00:01:00:02,0x86dd,128
3,00:1b:21:39:34:81,00:6c:bc:1a:26:48,0x0800,205
4,00:6c:bc:1a:26:48,00:1b:21:39:34:81,0x0800,66
5,00:6c:bc:1a:26:48,00:1b:21:39:34:81,0x0800,157
6,00:1b:21:39:34:81,00:6c:bc:1a:26:48,0x0800,66
7,00:1b:21:39:34:81,00:6c:bc:1a:26:48,0x0800,263
8,ac:84:c6:1f:3e:0f,33:33:00:01:00:02,0x86dd,128
9,00:6c:bc:1a:26:48,00:1b:21:39:34:81,0x0800,66
10,00:6c:bc:1a:26:48,00:1b:21:39:34:81,0x0800,170
11,00:6c:bc:1a:26:48,00:1b:21:39:34:81,0x0800,98
12,00:1b:21:39:34:81,00:6c:bc:1a:26:48,0x0800,66
13,00:1b:21:39:34:81,00:6c:bc:1a:26:48,0x0800,66
14,00:6c:bc:1a:26:48,00:1b:21:39:34:81,0x0800,97
15,00:1b:21:39:34:81,00:6c:bc:1a:26:48,0x0800,66
16,00:1b:21:39:34:81,00:6c:bc:1a:26:48,0x0800,111
17,00:6c:bc:1a:26:48,00:1b:21:39:34:81,0x0800,75
18,00:6c:bc:1a:26:48,00:1b:21:39:34:81,0x0800,453
19,00:6c:bc:1a:26:48,00:1b:21:39:34:81,0x0800,714
20,00:6c:bc:1a:26:48,00:1b:21:39:34:81,0x0800,66
21,00:1b:21:39:34:81,00:6c:bc:1a:26:48,0x0800,81
22,00:1b:21:39:34:81,00:6c:bc:1a:26:48,0x0800,75
23,00:6c:bc:1a:26:48,00:1b:21:39:34:81,0x0800,68
24,00:6c:bc:1a:26:04,01:00:0c:cc:cc:cd,,64
25,00:1b:21:39:34:81,00:6c:bc:1a:26:48,0x0800,313
26,00:1b:21:39:34:81,00:6c:bc:1a:26:48,0x0800,100
27,00:1b:21:39:34:81,00:6c:bc:1a:26:48,0x0800,403
28,00:6c:bc:1a:26:48,00:1b:21:39:34:81,0x0800,60
29,00:6c:bc:1a:26:48,00:1b:21:39:34:81,0x0800,60
30,00:6c:bc:1a:26:48,00:1b:21:39:34:81,0x0800,60
31,00:6c:bc:1a:26:48,00:1b:21:39:34:81,0x0800,100
32,00:1b:21:39:34:81,00:6c:bc:1a:26:48,0x0800,54
33,00:6c:bc:1a:26:48,00:1b:21:39:34:81,0x0800,2869
34,00:1b:21:39:34:81,00:6c:bc:1a:26:48,0x0800,54
35,80:e8:6f:ab:e2:ba,01:80:c2:00:00:00,,60
