tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.flags,tcp.len,tcp.window_size
53682,443,,1,0x0010,,501
443,53682,1,2,0x0010,0,16386
37854,443,1,1,0x0018,2896,7184
37854,443,2897,1,0x0018,370,7184
37854,443,3267,1,0x0018,1854,7184
443,37854,1,3267,0x0010,0,16386
443,37854,1,5121,0x0010,0,16386
443,37854,1,5121,0x0018,388,16386
443,37854,389,5121,0x0018,38,16386
37854,443,5121,427,0x0010,0,7184
37854,443,5121,427,0x0018,42,7184
443,37854,427,5163,0x0010,0,16385
47140,443,1,1,0x0010,0,501
39448,443,1,1,0x0010,0,501
443,47140,1,2,0x0010,0,16384
443,39448,1,2,0x0010,0,16384
443,37854,427,5163,0x0018,439,16385
443,37854,866,5163,0x0018,38,16385
37854,443,5163,904,0x0010,0,7184
37854,443,5163,904,0x0018,2896,7184
37854,443,8059,904,0x0018,83,7184
37854,443,8142,904,0x0018,2896,7184
37854,443,11038,904,0x0018,113,7184
443,37854,904,8142,0x0010,0,16386
443,37854,904,11038,0x0010,0,16386
443,37854,904,11151,0x0010,0,16385
38198,443,1,1,0x0018,203,501
38198,443,204,1,0x0018,39,501
443,38198,1,204,0x0010,0,501
443,38198,1,243,0x0010,0,501
443,38198,1,243,0x0018,39,501
443,38198,40,243,0x0018,202,501
443,38198,242,243,0x0018,38,501
38198,443,243,280,0x0010,0,501
38198,443,243,280,0x0018,35,501
38198,443,278,280,0x0018,35,501
38198,443,313,280,0x0018,194,501
38198,443,507,280,0x0018,1086,501
443,38198,280,313,0x0010,0,501
443,38198,280,1593,0x0010,0,501
46514,443,1,1,0x0018,58,501
443,46514,1,59,0x0018,47,2046
46514,443,59,48,0x0010,0,501
443,38198,280,1593,0x0018,211,501
443,38198,491,1593,0x0018,31,501
38198,443,1593,522,0x0010,0,501
38198,443,1593,522,0x0018,35,501
443,38198,522,1628,0x0010,0,501
48244,443,1,1,0x0010,0,501
443,48244,1,2,0x0010,0,16384
443,49710,1,1,0x0018,33,2049
49710,443,1,34,0x0010,0,501
443,33224,1,1,0x0014,0,0
443,37854,904,11151,0x0018,370,16385
443,37854,1274,11151,0x0018,38,16385
37854,443,11151,1312,0x0010,0,7184
37854,443,11151,1312,0x0018,42,7184
37854,443,11193,1312,0x0018,2896,7184
37854,443,14089,1312,0x0018,2486,7184
443,37854,1312,14089,0x0010,0,16386
443,37854,1312,16575,0x0010,0,16386
58448,443,1,1,0x0010,0,501
443,58448,1,2,0x0010,0,16382
59324,443,1,1,0x0018,96,501
443,59324,1,97,0x0010,0,16381
443,59324,1,97,0x0018,83,16381
59324,443,97,84,0x0010,0,501
443,49710,34,1,0x0018,33,2049
49710,443,1,67,0x0010,0,501
43776,443,1,1,0x0018,173,7307
43776,443,174,1,0x0018,39,7307
43776,443,213,1,0x0018,2880,7307
43776,443,3093,1,0x0018,2880,7307
43776,443,5973,1,0x0018,2880,7307
43776,443,8853,1,0x0018,2880,7307
443,43776,1,213,0x0010,0,16380
43776,443,11733,1,0x0018,2880,7307
43776,443,14613,1,0x0018,2880,7307
443,43776,1,3093,0x0010,0,16385
443,43776,1,5973,0x0010,0,16385
43776,443,17493,1,0x0018,2880,7307
43776,443,20373,1,0x0018,1593,7307
443,43776,1,11733,0x0010,0,16385
443,43776,1,11733,0x0018,39,16385
43776,443,21966,40,0x0010,0,7307
443,43776,40,16053,0x0010,0,16385
443,43776,40,17493,0x0010,0,16379
443,43776,40,18933,0x0010,0,16385
443,43776,40,21966,0x0010,0,16385
443,43776,40,21966,0x0018,149,16385
43776,443,21966,189,0x0010,0,7307
37854,443,16575,1312,0x0018,1648,7184
37854,443,18223,1312,0x0018,46,7184
37854,443,18269,1312,0x0018,2896,7184
37854,443,21165,1312,0x0018,1074,7184
443,37854,1312,18269,0x0010,0,16386
443,37854,1312,18269,0x0018,46,16386
443,37854,1358,19717,0x0010,0,16386
443,37854,1358,22239,0x0010,0,16386
443,37854,1358,22239,0x0018,538,16386
37854,443,22239,1896,0x0010,0,7184
443,37854,1896,22239,0x0018,38,16386
37854,443,22239,1934,0x0018,42,7184
443,37854,1934,22281,0x0010,0,16385
443,37854,1934,22281,0x0018,494,16385
443,37854,2428,22281,0x0018,137,16385
37854,443,22281,2565,0x0010,0,7184
443,37854,2565,22281,0x0018,38,16385
37854,443,22281,2603,0x0010,0,7184
53682,443,2,1,0x0018,209,501
53682,443,211,1,0x0018,39,501
53682,443,250,1,0x0018,2693,501
443,53682,1,250,0x0010,0,16385
443,53682,1,2943,0x0010,0,16386
443,53682,1,2943,0x0018,39,16386
53682,443,2943,40,0x0010,0,501
